Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",603,2,1uF,C15849
"C10, C11, C13, C14, C17, C4, C5, C6, C7, C8, C9",402,11,100nF,C1525
"C12, C3",402,2,1uF,C52923
"C15, C16",402,2,15pF,C1548
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
"R1, R2",402,2,27,C25100
"R3, R4",402,2,5.1K,C25905
R5,402,1,10K,C25744
R6,402,1,1K,C11702
SW1,SW_TS-1088-AR02016,1,SW_Push,C720477
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT94P279X129-5N,1,RT9013-33GB,C47773
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVSIQ,C2986331
Y1,XTAL_ABM8G-12.000MHZ-4Y-T3,1,ABM8G-12.000MHZ-4Y-T3,C596905
