Designator,Mid X,Mid Y,Rotation,Layer
C1,181.5,-47.8,0.0,top
C10,189.3,-64.8,270.0,top
C11,190.8,-66.4,180.0,top
C12,184.9,-62.8,270.0,top
C13,188.3,-64.7,270.0,top
C14,186.9,-76.7,90.0,top
C15,181.7,-79.58,90.0,top
C16,186.4,-79.4,270.0,top
C17,183.1,-61.2,90.0,top
C2,183.8,-51.4,90.0,top
C3,190.3,-64.8,270.0,top
C4,189.2,-61.8,270.0,top
C5,186.0,-62.5,270.0,top
C6,192.58,-71.2,180.0,top
C7,181.05,-66.4,0.0,top
C8,185.8,-75.8,90.0,top
C9,179.7,-71.1,0.0,top
J1,185.3,-41.8,180.0,top
J2,195.3,-65.93,0.0,top
J3,175.8,-65.93,0.0,top
J4,185.54,-90.6,270.0,top
R1,188.2,-61.8,270.0,top
R2,187.21,-61.8,270.0,top
R3,186.7,-48.0,270.0,top
R4,183.6,-48.0,270.0,top
R5,180.7,-61.6,180.0,top
R6,180.7,-60.6,0.0,top
SW1,185.0,-56.4,90.0,top
U1,185.8,-69.8625,90.0,top
U2,181.2,-50.655,270.0,top
U3,181.6,-63.4,0.0,top
Y1,183.9,-79.58,180.0,top
